t	x	y
0	-6.903651735	93.09634826
0.060240964	6.159450865	107.9559199
0.120481928	-1.188383544	102.3689543
0.180722892	7.360470155	112.6430766
0.240963855	8.408245828	115.3805206
0.301204819	23.37444468	132.0007875
0.361445783	30.43497124	140.679782
0.421686747	18.36096853	130.1886469
0.481927711	32.42196853	145.7969143
0.542168675	44.27231025	159.1589232
0.602409639	36.86259782	153.2252777
0.662650602	40.06976558	157.8729122
0.722891566	46.39998053	165.6079936
0.78313253	39.75968463	160.336964
0.843373494	37.2126014	159.1235467
0.903614458	55.34608169	178.5550928
0.963855422	50.38346369	174.8549404
1.024096386	55.81485524	181.5131972
1.084337349	52.02378452	178.9133916
1.144578313	42.55866938	170.6039413
1.204819277	71.00218787	200.1675244
1.265060241	70.738239	200.9880399
1.325301205	70.05667494	201.35534
1.385542169	62.03636297	194.348292
1.445783133	78.39212125	211.681714
1.506024096	75.59900051	209.8306567
1.56626506	79.10060212	214.2387215
1.626506024	95.31723719	231.3262196
1.686746988	98.48629855	235.3305437
1.746987952	97.46057676	235.1044845
1.807228916	95.09304182	233.5010118
1.86746988	101.6058604	240.7422924
1.927710843	101.4958645	241.3251584
1.987951807	100.0238913	240.5104468
2.048192771	107.1492525	248.2574694
2.108433735	115.6909753	257.3852533
2.168674699	118.6694617	260.9142006
2.228915663	121.7667391	264.5263387
2.289156627	143.2633689	286.5022289
2.34939759	109.505478	253.1879983
2.409638554	116.3152567	260.4058369
2.469879518	138.3552898	282.8183297
2.530120482	136.6328629	281.4327623
2.590361446	142.1616558	287.2628145
2.65060241	136.000854	281.3676718
2.710843373	131.1862184	276.7830951
2.771084337	151.0416105	296.8329457
2.831325301	156.8076235	302.7578171
2.891566265	141.0760822	287.1495338
2.951807229	169.2751129	315.4362225
3.012048193	174.1456404	320.3588076
3.072289157	163.9136869	310.1433115
3.13253012	178.4492677	324.6597495
3.192771084	171.6063176	317.7620563
3.253012048	176.509249	322.5746444
3.313253012	184.0887225	330.0281745
3.373493976	181.5973514	327.3752596
3.43373494	192.3099009	337.8906651
